DHB of residence,Ethnic group,Age group,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,,,,,,,,,,,,,,
Auckland Metro,Asian,12-15,"5,569",0,"19,805",281,0,,,,,,,,,,,,,,,
Auckland Metro,Asian,16-19,"8,935","2,725","17,516",510,156,,,,,,,,,,,,,,,
Auckland Metro,Asian,20-24,"15,003","6,567","26,285",571,250,,,,,,,,,,,,,,,
Auckland Metro,Asian,25-29,"24,851","11,398","43,435",572,262,,,,,,,,,,,,,,,
Auckland Metro,Asian,30-34,"32,511","14,849","52,106",624,285,,,,,,,,,,,,,,,
Auckland Metro,Asian,35-39,"32,182","14,592","49,367",652,296,,,,,,,,,,,,,,,
Auckland Metro,Asian,40-44,"25,570","12,030","34,079",750,353,,,,,,,,,,,,,,,
Auckland Metro,Asian,45-49,"20,021","10,086","27,402",731,368,,,,,,,,,,,,,,,
Auckland Metro,Asian,50-54,"18,545","9,854","24,026",772,410,,,,,,,,,,,,,,,
Auckland Metro,Asian,55-59,"17,968","10,387","22,937",783,453,,,,,,,,,,,,,,,
Auckland Metro,Asian,60-64,"16,004","10,747","21,174",756,508,,,,,,,,,,,,,,,
Auckland Metro,Asian,65+,"34,530","27,493","43,208",799,636,,,,,,,,,,,,,,,
Auckland Metro,European or Other,12-15,"8,757",0,"36,710",239,0,,,,,,,,,,,,,,,
Auckland Metro,European or Other,16-19,"11,001","2,498","34,875",315,72,,,,,,,,,,,,,,,
Auckland Metro,European or Other,20-24,"15,927","6,837","48,529",328,141,,,,,,,,,,,,,,,
Auckland Metro,European or Other,25-29,"19,432","8,925","56,797",342,157,,,,,,,,,,,,,,,
Auckland Metro,European or Other,30-34,"20,907","8,480","55,928",374,152,,,,,,,,,,,,,,,
Auckland Metro,European or Other,35-39,"20,700","8,085","52,548",394,154,,,,,,,,,,,,,,,
Auckland Metro,European or Other,40-44,"23,041","9,060","52,014",443,174,,,,,,,,,,,,,,,
Auckland Metro,European or Other,45-49,"28,601","11,966","60,002",477,199,,,,,,,,,,,,,,,
Auckland Metro,European or Other,50-54,"36,628","15,420","59,535",615,259,,,,,,,,,,,,,,,
Auckland Metro,European or Other,55-59,"40,059","18,622","58,137",689,320,,,,,,,,,,,,,,,
Auckland Metro,European or Other,60-64,"38,329","22,472","50,250",763,447,,,,,,,,,,,,,,,
Auckland Metro,European or Other,65+,"129,609","106,583","147,880",876,721,,,,,,,,,,,,,,,
Auckland Metro,Maori,12-15,"1,779",0,"13,714",130,0,,,,,,,,,,,,,,,
Auckland Metro,Maori,16-19,"2,755",799,"12,373",223,65,,,,,,,,,,,,,,,
Auckland Metro,Maori,20-24,"3,646","1,354","15,978",228,85,,,,,,,,,,,,,,,
Auckland Metro,Maori,25-29,"3,676","1,369","15,398",239,89,,,,,,,,,,,,,,,
Auckland Metro,Maori,30-34,"3,449","1,226","12,593",274,97,,,,,,,,,,,,,,,
Auckland Metro,Maori,35-39,"3,144","1,160","9,808",321,118,,,,,,,,,,,,,,,
Auckland Metro,Maori,40-44,"3,731","1,896","9,334",400,203,,,,,,,,,,,,,,,
Auckland Metro,Maori,45-49,"4,609","2,512","10,177",453,247,,,,,,,,,,,,,,,
Auckland Metro,Maori,50-54,"5,116","2,898","9,349",547,310,,,,,,,,,,,,,,,
Auckland Metro,Maori,55-59,"5,240","3,784","8,453",620,448,,,,,,,,,,,,,,,
Auckland Metro,Maori,60-64,"4,476","3,408","6,044",741,564,,,,,,,,,,,,,,,
Auckland Metro,Maori,65+,"7,404","6,241","9,177",807,680,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,12-15,"2,953",0,"18,504",160,0,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,16-19,"5,262","1,668","18,393",286,91,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,20-24,"6,741","2,680","23,371",288,115,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,25-29,"6,609","2,736","22,124",299,124,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,30-34,"6,712","2,794","18,287",367,153,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,35-39,"7,093","3,175","16,112",440,197,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,40-44,"7,669","4,161","14,984",512,278,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,45-49,"7,999","4,600","14,389",556,320,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,50-54,"8,838","5,456","14,378",615,379,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,55-59,"8,625","6,265","12,288",702,510,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,60-64,"7,058","5,401","9,539",740,566,,,,,,,,,,,,,,,
Auckland Metro,Pacific Peoples,65+,"13,842","11,520","18,568",745,620,,,,,,,,,,,,,,,
Auckland Metro,Unknown,12-15,85,0,98,867,0,,,,,,,,,,,,,,,
Auckland Metro,Unknown,16-19,186,51,77,"2,416",662,,,,,,,,,,,,,,,
Auckland Metro,Unknown,20-24,385,151,190,"2,026",795,,,,,,,,,,,,,,,
Auckland Metro,Unknown,25-29,802,359,287,"2,794","1,251",,,,,,,,,,,,,,,
Auckland Metro,Unknown,30-34,952,452,345,"2,759","1,310",,,,,,,,,,,,,,,
Auckland Metro,Unknown,35-39,795,344,434,"1,832",793,,,,,,,,,,,,,,,
Auckland Metro,Unknown,40-44,606,264,451,"1,344",585,,,,,,,,,,,,,,,
Auckland Metro,Unknown,45-49,590,267,447,"1,320",597,,,,,,,,,,,,,,,
Auckland Metro,Unknown,50-54,559,265,464,"1,205",571,,,,,,,,,,,,,,,
Auckland Metro,Unknown,55-59,570,250,516,"1,105",484,,,,,,,,,,,,,,,
Auckland Metro,Unknown,60-64,563,317,458,"1,229",692,,,,,,,,,,,,,,,
Auckland Metro,Unknown,65+,"1,226",945,"1,171","1,047",807,,,,,,,,,,,,,,,
Bay of Plenty,Asian,12-15,76,0,803,95,0,,,,,,,,,,,,,,,
Bay of Plenty,Asian,16-19,126,20,595,212,34,,,,,,,,,,,,,,,
Bay of Plenty,Asian,20-24,353,143,899,393,159,,,,,,,,,,,,,,,
Bay of Plenty,Asian,25-29,802,396,"2,033",394,195,,,,,,,,,,,,,,,
Bay of Plenty,Asian,30-34,"1,017",529,"2,143",475,247,,,,,,,,,,,,,,,
Bay of Plenty,Asian,35-39,717,337,"1,659",432,203,,,,,,,,,,,,,,,
Bay of Plenty,Asian,40-44,537,241,"1,284",418,188,,,,,,,,,,,,,,,
Bay of Plenty,Asian,45-49,505,246,964,524,255,,,,,,,,,,,,,,,
Bay of Plenty,Asian,50-54,457,181,717,637,252,,,,,,,,,,,,,,,
Bay of Plenty,Asian,55-59,378,153,568,665,269,,,,,,,,,,,,,,,
Bay of Plenty,Asian,60-64,342,187,519,659,360,,,,,,,,,,,,,,,
Bay of Plenty,Asian,65+,714,546,987,723,553,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,12-15,830,0,"7,730",107,0,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,16-19,"1,152",243,"6,710",172,36,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,20-24,"1,347",612,"7,312",184,84,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,25-29,"1,699",886,"8,574",198,103,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,30-34,"2,073",948,"9,539",217,99,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,35-39,"2,161",988,"9,395",230,105,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,40-44,"2,828","1,160","9,459",299,123,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,45-49,"3,735","1,616","11,478",325,141,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,50-54,"6,347","2,192","11,894",534,184,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,55-59,"7,410","3,145","12,684",584,248,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,60-64,"8,805","5,014","12,521",703,400,,,,,,,,,,,,,,,
Bay of Plenty,European or Other,65+,"38,182","31,917","44,781",853,713,,,,,,,,,,,,,,,
Bay of Plenty,Maori,12-15,354,0,"5,174",68,0,,,,,,,,,,,,,,,
Bay of Plenty,Maori,16-19,500,146,"4,345",115,34,,,,,,,,,,,,,,,
Bay of Plenty,Maori,20-24,546,247,"4,826",113,51,,,,,,,,,,,,,,,
Bay of Plenty,Maori,25-29,580,280,"4,583",127,61,,,,,,,,,,,,,,,
Bay of Plenty,Maori,30-34,573,254,"4,010",143,63,,,,,,,,,,,,,,,
Bay of Plenty,Maori,35-39,679,297,"3,590",189,83,,,,,,,,,,,,,,,
Bay of Plenty,Maori,40-44,832,382,"3,473",240,110,,,,,,,,,,,,,,,
Bay of Plenty,Maori,45-49,"1,076",486,"3,534",304,138,,,,,,,,,,,,,,,
Bay of Plenty,Maori,50-54,"1,350",600,"3,310",408,181,,,,,,,,,,,,,,,
Bay of Plenty,Maori,55-59,"1,629",813,"3,315",491,245,,,,,,,,,,,,,,,
Bay of Plenty,Maori,60-64,"1,791","1,147","2,686",667,427,,,,,,,,,,,,,,,
Bay of Plenty,Maori,65+,"3,811","3,102","4,888",780,635,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,12-15,22,0,366,60,0,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,16-19,56,14,302,185,46,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,20-24,164,94,372,441,253,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,25-29,310,199,385,805,517,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,30-34,257,144,402,639,358,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,35-39,258,141,359,719,393,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,40-44,227,136,355,639,383,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,45-49,160,88,264,606,333,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,50-54,151,68,262,576,260,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,55-59,109,60,182,599,330,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,60-64,96,60,146,658,411,,,,,,,,,,,,,,,
Bay of Plenty,Pacific Peoples,65+,203,167,284,715,588,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,20-24,13,0,11,"1,182",0,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,25-29,34,16,22,"1,545",727,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,30-34,31,13,20,"1,550",650,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,35-39,26,13,16,"1,625",812,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,40-44,29,15,28,"1,036",536,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,45-49,20,8,27,741,296,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,50-54,32,9,26,"1,231",346,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,55-59,24,0,25,960,0,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,60-64,32,20,25,"1,280",800,,,,,,,,,,,,,,,
Bay of Plenty,Unknown,65+,64,46,68,941,676,,,,,,,,,,,,,,,
Canterbury,Asian,12-15,525,0,"3,092",170,0,,,,,,,,,,,,,,,
Canterbury,Asian,16-19,720,177,"2,586",278,68,,,,,,,,,,,,,,,
Canterbury,Asian,20-24,"1,530",675,"3,609",424,187,,,,,,,,,,,,,,,
Canterbury,Asian,25-29,"2,963","1,411","6,305",470,224,,,,,,,,,,,,,,,
Canterbury,Asian,30-34,"4,192","1,978","7,965",526,248,,,,,,,,,,,,,,,
Canterbury,Asian,35-39,"3,564","1,492","7,750",460,193,,,,,,,,,,,,,,,
Canterbury,Asian,40-44,"2,611",982,"5,503",474,178,,,,,,,,,,,,,,,
Canterbury,Asian,45-49,"1,878",830,"3,984",471,208,,,,,,,,,,,,,,,
Canterbury,Asian,50-54,"1,675",578,"2,847",588,203,,,,,,,,,,,,,,,
Canterbury,Asian,55-59,"1,265",498,"2,250",562,221,,,,,,,,,,,,,,,
Canterbury,Asian,60-64,"1,330",531,"2,148",619,247,,,,,,,,,,,,,,,
Canterbury,Asian,65+,"2,685","1,438","3,894",690,369,,,,,,,,,,,,,,,
Canterbury,European or Other,12-15,"3,459",0,"19,672",176,0,,,,,,,,,,,,,,,
Canterbury,European or Other,16-19,"5,238","1,144","20,194",259,57,,,,,,,,,,,,,,,
Canterbury,European or Other,20-24,"7,284","3,138","27,011",270,116,,,,,,,,,,,,,,,
Canterbury,European or Other,25-29,"7,587","3,674","28,457",267,129,,,,,,,,,,,,,,,
Canterbury,European or Other,30-34,"8,500","3,499","28,023",303,125,,,,,,,,,,,,,,,
Canterbury,European or Other,35-39,"8,472","3,369","25,110",337,134,,,,,,,,,,,,,,,
Canterbury,European or Other,40-44,"9,522","3,845","25,210",378,153,,,,,,,,,,,,,,,
Canterbury,European or Other,45-49,"12,370","5,442","29,953",413,182,,,,,,,,,,,,,,,
Canterbury,European or Other,50-54,"17,261","7,096","30,987",557,229,,,,,,,,,,,,,,,
Canterbury,European or Other,55-59,"18,875","8,362","31,526",599,265,,,,,,,,,,,,,,,
Canterbury,European or Other,60-64,"20,423","9,518","28,675",712,332,,,,,,,,,,,,,,,
Canterbury,European or Other,65+,"70,999","47,184","83,806",847,563,,,,,,,,,,,,,,,
Canterbury,Maori,12-15,469,0,"3,815",123,0,,,,,,,,,,,,,,,
Canterbury,Maori,16-19,825,260,"3,480",237,75,,,,,,,,,,,,,,,
Canterbury,Maori,20-24,"1,108",472,"4,592",241,103,,,,,,,,,,,,,,,
Canterbury,Maori,25-29,963,419,"4,247",227,99,,,,,,,,,,,,,,,
Canterbury,Maori,30-34,950,396,"3,626",262,109,,,,,,,,,,,,,,,
Canterbury,Maori,35-39,800,294,"2,715",295,108,,,,,,,,,,,,,,,
Canterbury,Maori,40-44,938,371,"2,641",355,140,,,,,,,,,,,,,,,
Canterbury,Maori,45-49,"1,080",448,"2,649",408,169,,,,,,,,,,,,,,,
Canterbury,Maori,50-54,"1,329",562,"2,676",497,210,,,,,,,,,,,,,,,
Canterbury,Maori,55-59,"1,334",861,"2,188",610,394,,,,,,,,,,,,,,,
Canterbury,Maori,60-64,"1,239",866,"1,681",737,515,,,,,,,,,,,,,,,
Canterbury,Maori,65+,"2,247","1,726","2,659",845,649,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,12-15,341,0,"1,252",272,0,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,16-19,444,141,"1,110",400,127,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,20-24,524,223,"1,506",348,148,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,25-29,478,210,"1,496",320,140,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,30-34,524,240,"1,482",354,162,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,35-39,535,239,"1,153",464,207,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,40-44,557,263,"1,026",543,256,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,45-49,541,292,929,582,314,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,50-54,439,245,723,607,339,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,55-59,415,287,677,613,424,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,60-64,417,263,520,802,506,,,,,,,,,,,,,,,
Canterbury,Pacific Peoples,65+,696,520,863,806,603,,,,,,,,,,,,,,,
Canterbury,Unknown,12-15,8,0,23,348,0,,,,,,,,,,,,,,,
Canterbury,Unknown,16-19,23,9,36,639,250,,,,,,,,,,,,,,,
Canterbury,Unknown,20-24,58,28,80,725,350,,,,,,,,,,,,,,,
Canterbury,Unknown,25-29,101,74,160,631,462,,,,,,,,,,,,,,,
Canterbury,Unknown,30-34,154,84,203,759,414,,,,,,,,,,,,,,,
Canterbury,Unknown,35-39,165,73,253,652,289,,,,,,,,,,,,,,,
Canterbury,Unknown,40-44,151,53,226,668,235,,,,,,,,,,,,,,,
Canterbury,Unknown,45-49,203,77,409,496,188,,,,,,,,,,,,,,,
Canterbury,Unknown,50-54,223,102,347,643,294,,,,,,,,,,,,,,,
Canterbury,Unknown,55-59,199,73,274,726,266,,,,,,,,,,,,,,,
Canterbury,Unknown,60-64,210,90,222,946,405,,,,,,,,,,,,,,,
Canterbury,Unknown,65+,374,240,394,949,609,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,12-15,"1,114",0,"2,817",395,0,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,16-19,"1,072",192,"2,478",433,77,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,20-24,"1,632",579,"3,607",452,161,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,25-29,"2,850","1,087","6,025",473,180,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,30-34,"4,265","1,661","7,520",567,221,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,35-39,"4,206","1,425","7,233",582,197,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,40-44,"3,227",972,"4,960",651,196,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,45-49,"2,637",929,"3,986",662,233,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,50-54,"2,534",862,"3,253",779,265,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,55-59,"2,426",928,"3,041",798,305,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,60-64,"1,999",902,"2,567",779,351,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Asian,65+,"4,737","2,732","5,744",825,476,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,12-15,"4,922",0,"13,425",367,0,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,16-19,"5,189",863,"13,747",377,63,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,20-24,"7,089","2,417","21,173",335,114,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,25-29,"8,154","3,156","23,085",353,137,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,30-34,"9,227","2,842","21,476",430,132,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,35-39,"9,014","2,787","19,964",452,140,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,40-44,"10,283","3,065","20,090",512,153,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,45-49,"12,181","3,750","22,568",540,166,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,50-54,"15,430","4,785","22,108",698,216,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,55-59,"15,911","5,817","21,500",740,271,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,60-64,"15,131","7,014","18,602",813,377,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,65+,"46,997","30,743","52,497",895,586,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,12-15,984,0,"4,322",228,0,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,16-19,"1,085",289,"4,211",258,69,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,20-24,"1,538",576,"5,869",262,98,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,25-29,"1,418",571,"5,318",267,107,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,30-34,"1,306",484,"4,346",301,111,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,35-39,"1,147",431,"3,436",334,125,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,40-44,"1,364",497,"3,407",400,146,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,45-49,"1,712",671,"3,540",484,190,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,50-54,"1,942",770,"3,235",600,238,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,55-59,"2,121","1,499","2,887",735,519,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,60-64,"1,791","1,374","2,181",821,630,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,65+,"2,917","2,431","3,338",874,728,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,12-15,723,0,"2,361",306,0,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,16-19,930,290,"2,471",376,117,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,20-24,"1,119",424,"3,217",348,132,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,25-29,"1,009",426,"2,930",344,145,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,30-34,995,398,"2,691",370,148,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,35-39,979,403,"2,333",420,173,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,40-44,"1,139",494,"2,304",494,214,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,45-49,"1,319",618,"2,269",581,272,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,50-54,"1,391",674,"2,153",646,313,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,55-59,"1,410",959,"1,818",776,528,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,60-64,"1,190",869,"1,440",826,603,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,65+,"2,568","2,155","3,084",833,699,,,,,,,,,,,,,,,
